Date,Open,High,Low,Close,Adj Close,Volume
2021-10-25,22.740000,22.879999,22.709999,22.785000,22.785000,158589
2021-10-26,22.850000,22.959999,22.809999,22.930000,22.930000,104274
2021-10-27,22.905001,22.905001,22.665001,22.754999,22.754999,113656
2021-10-28,22.660000,22.670000,22.559999,22.605000,22.605000,107901
2021-10-29,22.594999,22.844999,22.580000,22.844999,22.844999,70344
2021-11-01,22.844999,22.950001,22.725000,22.764999,22.764999,69541
2021-11-02,22.709999,22.820000,22.655001,22.820000,22.820000,72922
2021-11-03,22.775000,22.885000,22.725000,22.855000,22.855000,89183
2021-11-04,22.969999,22.985001,22.639999,22.639999,22.639999,87980
2021-11-05,22.670000,22.985001,22.670000,22.785000,22.785000,84345
2021-11-08,22.725000,22.955000,22.700001,22.850000,22.850000,37368
2021-11-09,22.735001,22.764999,22.580000,22.629999,22.629999,100207
2021-11-10,22.770000,22.855000,22.629999,22.825001,22.825001,77067
2021-11-11,22.850000,22.900000,22.809999,22.870001,22.870001,66952
2021-11-12,22.920000,22.924999,22.825001,22.905001,22.905001,50465
2021-11-15,22.895000,23.084999,22.860001,23.045000,23.045000,60260
2021-11-16,23.150000,23.174999,23.055000,23.129999,23.129999,56366
2021-11-17,23.135000,23.170000,22.945000,22.959999,22.959999,83196
2021-11-18,22.920000,22.985001,22.709999,22.775000,22.775000,58475
2021-11-19,22.915001,22.915001,22.495001,22.590000,22.590000,105388
2021-11-22,22.705000,22.959999,22.695000,22.910000,22.910000,75459
2021-11-23,22.840000,23.014999,22.665001,22.910000,22.910000,55803
2021-11-24,23.014999,23.155001,23.014999,23.080000,23.080000,84089
2021-11-25,23.180000,23.180000,23.100000,23.125000,23.125000,58559
2021-11-26,22.325001,22.325001,21.940001,21.990000,21.990000,130571
2021-11-29,22.350000,22.485001,22.150000,22.150000,22.150000,67598
2021-11-30,21.799999,22.000000,21.600000,21.930000,21.930000,136155
2021-12-01,21.930000,22.250000,21.930000,22.250000,22.250000,92360
2021-12-02,21.885000,22.105000,21.690001,22.025000,22.025000,137017
2021-12-03,22.305000,22.305000,21.895000,21.950001,21.950001,39219
2021-12-06,22.155001,22.309999,21.955000,22.295000,22.295000,36948
